Symbol,Name,Last,Cumulative Performance,3-Year,1-Year,6-Month,3-Month,1-Month,1-Week,YTD
00001.HK,CKH HOLDINGS,51.6,,-49.16%,-26.96%,-24.95%,3.72%,3.61%,-1.43%,-30.55%
00002.HK,CLP HOLDINGS,75.85,,-6.76%,-6.36%,-7.27%,-1.56%,6.08%,-0.85%,-7.39%
00003.HK,HK & CHINA GAS,11.24,,3.03%,-24.40%,-20.10%,-6.71%,1.81%,-0.53%,-21.27%
00005.HK,HSBC HOLDINGS,33.9,,-54.40%,-40.63%,-40.00%,-5.44%,-5.83%,-2.02%,-44.29%
00006.HK,POWER ASSETS,44.2,,-29.00%,-18.75%,-22.93%,-0.11%,4.37%,-1.23%,-22.46%
00011.HK,HANG SENG BANK,122.7,,-29.60%,-26.75%,-24.02%,-1.05%,-1.29%,-0.97%,-23.79%
00012.HK,HENDERSON LAND,31,,-17.72%,-17.99%,-13.41%,11.91%,8.39%,1.97%,-18.95%
00016.HK,SHK PPT,101.9,,-17.69%,-10.85%,-8.28%,12.29%,10.22%,3.40%,-14.59%
00017.HK,NEW WORLD DEV,40.85,,-1.61%,0.71%,3.16%,27.50%,9.66%,0.62%,-4.38%
00019.HK,SWIRE PACIFIC A,43.2,,-45.21%,-44.54%,-39.50%,-1.82%,13.39%,4.10%,-40.33%
00027.HK,GALAXY ENT,60.9,,34.59%,25.46%,13.94%,21.80%,21.68%,1.58%,6.94%
00066.HK,MTR CORPORATION,40.7,,-10.25%,-13.59%,-7.29%,6.96%,6.27%,1.12%,-11.62%
00083.HK,SINO LAND,9.3,,-24.64%,-19.41%,-12.10%,3.68%,-0.43%,1.20%,-17.84%
00101.HK,HANG LUNG PPT,21.75,,14.35%,22.33%,21.24%,38.01%,14.35%,3.33%,27.19%
00151.HK,WANT WANT CHINA,5.43,,20.64%,-6.65%,-6.17%,9.10%,-1.58%,0.24%,-22.51%
00175.HK,GEELY AUTO,15.56,,-17.58%,30.32%,5.14%,30.76%,-2.02%,-0.51%,2.10%
00267.HK,CITIC,7.59,,-34.91%,-16.13%,-16.13%,9.21%,3.97%,-2.57%,-27.16%
00288.HK,WH GROUP,6.84,,-15.14%,3.48%,-18.86%,6.87%,0.74%,-0.58%,-15.03%
00386.HK,SINOPEC CORP,3.56,,-37.76%,-23.93%,-13.59%,2.30%,3.19%,-1.39%,-24.09%
00388.HK,HKEX,381,,83.53%,50.95%,46.09%,47.10%,5.72%,1.17%,50.59%
00669.HK,TECHTRONIC IND,97.2,,150.19%,76.09%,43.26%,48.51%,18.39%,2.75%,52.95%
00688.HK,CHINA OVERSEAS,23.45,,-15.65%,-6.57%,-11.51%,-0.85%,-0.64%,0.21%,-22.73%
00700.HK,TENCENT,548,,67.38%,63.97%,40.37%,32.88%,3.79%,8.62%,45.90%
00762.HK,CHINA UNICOM,6.32,,-45.89%,-21.20%,-3.95%,43.64%,45.96%,7.48%,-13.90%
00823.HK,LINK REIT,62.85,,-1.02%,-31.72%,-16.31%,3.12%,6.71%,-0.79%,-23.82%
00857.HK,PETROCHINA,2.71,,-38.25%,-27.89%,-13.91%,8.49%,-5.24%,-2.17%,-29.39%
00883.HK,CNOOC,8.99,,-1.32%,-21.55%,-23.42%,4.29%,5.52%,0.22%,-30.63%
00939.HK,CCB,5.79,,-14.09%,0.00%,-8.68%,-3.82%,-1.19%,-1.19%,-13.97%
00941.HK,CHINA MOBILE,59.05,,-28.58%,-11.60%,-9.78%,5.16%,10.37%,0.77%,-9.85%
01038.HK,CKI HOLDINGS,41.65,,-41.63%,-24.95%,-23.79%,3.87%,8.75%,0.48%,-24.89%
01044.HK,HENGAN INT'L,64.1,,-2.95%,23.51%,6.21%,0.63%,-4.26%,-6.56%,15.50%
01088.HK,CHINA SHENHUA,12.52,,-35.13%,-19.23%,-9.93%,-5.86%,-4.57%,-3.84%,-23.10%
01093.HK,CSPC PHARMA,15.94,,51.81%,23.40%,4.64%,26.68%,3.91%,2.31%,4.07%
01109.HK,CHINA RES LAND,35.4,,50.64%,7.93%,2.46%,23.13%,6.79%,2.31%,-8.76%
01113.HK,CK ASSET,42.8,,-36.83%,-21.97%,-13.71%,0.47%,-1.15%,0.47%,-23.91%
01177.HK,SINO BIOPHARM,9.39,,204.87%,30.65%,28.05%,23.55%,-5.53%,1.51%,29.21%
01299.HK,AIA,78.55,,34.72%,1.03%,1.55%,22.73%,9.25%,4.39%,-3.97%
01398.HK,ICBC,4.61,,-19.97%,-6.87%,-14.79%,-6.68%,-1.50%,-2.95%,-23.17%
01928.HK,SANDS CHINA LTD,33.6,,-3.59%,-6.80%,-11.81%,16.06%,14.87%,2.60%,-19.33%
01997.HK,WHARF REIC,33.85,,N/A,-22.54%,-15.80%,18.36%,20.89%,6.45%,-28.81%
02007.HK,COUNTRY GARDEN,10.4,,2.97%,8.33%,0.58%,13.04%,5.16%,0.00%,-16.67%
02018.HK,AAC TECH,53,,-55.61%,43.44%,-5.02%,33.00%,-7.75%,-6.69%,-22.06%
02313.HK,SHENZHOU INTL,110.5,,77.37%,-2.21%,8.23%,27.75%,21.43%,-0.36%,-2.99%
02318.HK,PING AN,84.5,,37.79%,-7.95%,-4.68%,11.33%,1.32%,-1.11%,-8.25%
02319.HK,MENGNIU DAIRY,35.65,,104.89%,8.85%,24.00%,30.59%,2.89%,0.71%,13.17%
02382.HK,SUNNY OPTICAL,125,,7.76%,19.05%,-2.34%,19.05%,-9.49%,-15.65%,-7.34%
02388.HK,BOC HONG KONG,22.4,,-40.76%,-17.19%,-17.04%,-0.22%,2.28%,-1.32%,-17.19%
02628.HK,CHINA LIFE,19.04,,-20.67%,1.71%,1.28%,35.42%,5.78%,-5.51%,-12.06%
03328.HK,BANKCOMM,4.24,,-26.26%,-19.85%,-16.70%,-8.03%,-2.53%,-2.30%,-23.47%
03988.HK,BANK OF CHINA,2.61,,-33.92%,-12.71%,-16.88%,-7.77%,-1.14%,-1.51%,-21.62%
